currency,date_time,extracted_value_high,extracted_value_low,frequency,job_hash,normalized_annual_high,normalized_annual_high_usd,normalized_annual_low,normalized_annual_low_usd,normalized_currency,normalized_frequency
USD,2025-12-19,None,45864.00,None,749b101abadcb82ba18f4bb5232abda8,None,None,45864.00,45864.00,USD,yearly
USD,2026-05-22,19.50,19.00,hourly,749acfb079f74420997333df331b7527,40560.00,40560.00,39520.00,39520.00,USD,hourly
USD,2025-09-09,None,12.00,hourly,749be93b24d829359f027b7d9c29be2c,None,None,24960.00,24960.00,USD,hourly
USD,2023-04-08,None,136908.00,yearly,749bd85d76e9407810b3c16e67dcf37d,None,None,136908.00,136908.00,USD,yearly
USD,2026-05-09,27.30,18.99,None,749a5a34b1eca4289613f9ad8bbb40c8,56784.00,56784.00,39499.20,39499.20,USD,hourly
USD,2023-08-29,None,16.90,hourly,749b7c7c95cc10d957dda28ef5b7e4fb,None,None,35152.00,35152.00,USD,hourly
USD,2026-01-21,80000.00,70000.00,yearly,749abe4789b8b8098e8c4ce18482055b,80000.00,80000.00,70000.00,70000.00,USD,yearly
USD,2026-01-07,None,13.00,hourly,749b56eca9b8bbf716ef06511f8b721f,None,None,27040.00,27040.00,USD,hourly
USD,2026-01-17,None,18.50,hourly,749bca8ea4c74e0a69dbb7c81b23e3c1,None,None,38480.00,38480.00,USD,hourly
USD,2024-02-25,34.04,22.70,None,749ad9205522093af953f583b2063a8a,70803.20,70803.20,47216.00,47216.00,USD,hourly
USD,2020-06-07,None,11.00,hourly,749be0e91094de12adb805c5a176939b,None,None,22880.00,22880.00,USD,hourly
USD,2025-08-13,19.00,17.00,hourly,749a65d0106c439fbc7aaddfe3ed2c92,39520.00,39520.00,35360.00,35360.00,USD,hourly
USD,2022-06-23,None,75000.00,None,749b67fece3fc940d32271336bd6d888,None,None,75000.00,75000.00,USD,yearly
